Coefficient,MAE,ExpVar
1.7570757108049588,5.326933856028317,0.9300201909487673
0.30999535274527723,5.326933856028317,0.9300201909487673
0.09687497633450737,5.326933856028317,0.9300201909487673
0.4664236373040357,5.326933856028317,0.9300201909487673
0.7657820188532894,5.326933856028317,0.9300201909487673
1.4884220486941555,5.326933856028317,0.9300201909487673
1.397388665777702,5.326933856028317,0.9300201909487673
0.3461097068157461,5.326933856028317,0.9300201909487673
1.2702695875035617,5.326933856028317,0.9300201909487673
0.697875693890083,5.326933856028317,0.9300201909487673
1.726994868039169,5.326933856028317,0.9300201909487673
0.17923948730385142,5.326933856028317,0.9300201909487673
0.270868852581031,5.326933856028317,0.9300201909487673
0.3821677771066184,5.326933856028317,0.9300201909487673
0.3832133277380968,5.326933856028317,0.9300201909487673
0.936669261727555,5.326933856028317,0.9300201909487673
0.28082944406547666,5.326933856028317,0.9300201909487673
1.3947020819924254,5.326933856028317,0.9300201909487673
19.88896020315785,5.326933856028317,0.9300201909487673
0.2753290069642006,5.326933856028317,0.9300201909487673
0.5603868822757595,5.326933856028317,0.9300201909487673
1.3161453521055444,5.326933856028317,0.9300201909487673
